tweet_id, created_at, retweet_count, favorite_count
892420643555336193,2017-08-01 16:23:56+00:00,7150,34407
892177421306343426,2017-08-01 00:17:27+00:00,5378,29835
891815181378084864,2017-07-31 00:18:03+00:00,3542,22453
891689557279858688,2017-07-30 15:58:51+00:00,7361,37612
891327558926688256,2017-07-29 16:00:24+00:00,7904,35922
891087950875897856,2017-07-29 00:08:17+00:00,2659,18131
890971913173991426,2017-07-28 16:27:12+00:00,1705,10554
890729181411237888,2017-07-28 00:22:40+00:00,16078,57868
890609185150312448,2017-07-27 16:25:51+00:00,3690,24970
890240255349198849,2017-07-26 15:59:51+00:00,6204,28459
890006608113172480,2017-07-26 00:31:25+00:00,6262,27484
889880896479866881,2017-07-25 16:11:53+00:00,4241,24999
889665388333682689,2017-07-25 01:55:32+00:00,8518,42827
889638837579907072,2017-07-25 00:10:02+00:00,3796,24087
889531135344209921,2017-07-24 17:02:04+00:00,1915,13584
889278841981685760,2017-07-24 00:19:32+00:00,4529,22509
888917238123831296,2017-07-23 00:22:39+00:00,3829,26089
888804989199671297,2017-07-22 16:56:37+00:00,3608,22862
888554962724278272,2017-07-22 00:23:06+00:00,2933,17640
888078434458587136,2017-07-20 16:49:33+00:00,2954,19470
887705289381826560,2017-07-19 16:06:48+00:00,4615,27084
887517139158093824,2017-07-19 03:39:09+00:00,10012,41463
887473957103951883,2017-07-19 00:47:34+00:00,15306,61270
887343217045368832,2017-07-18 16:08:03+00:00,8968,30102
887101392804085760,2017-07-18 00:07:08+00:00,5078,27442
886983233522544640,2017-07-17 16:17:36+00:00,6471,30933
886736880519319552,2017-07-16 23:58:41+00:00,2695,10672
886680336477933568,2017-07-16 20:14:00+00:00,3806,20100
886366144734445568,2017-07-15 23:25:31+00:00,2686,18883
886267009285017600,2017-07-15 16:51:35+00:00,3,104
886258384151887873,2017-07-15 16:17:19+00:00,5382,25004
886054160059072513,2017-07-15 02:45:48+00:00,94,0
885984800019947520,2017-07-14 22:10:11+00:00,5725,29110
885528943205470208,2017-07-13 15:58:47+00:00,5437,32148
885518971528720385,2017-07-13 15:19:09+00:00,3176,18321
885311592912609280,2017-07-13 01:35:06+00:00,15738,0
